m	iter	|LRC|	z	S	tiempo / segundos	
2	10	2	8.510329	{ ( 0.630000, 5.960000 ), ( 8.670000, 3.170000 ) }	0.002221	
2	10	3	8.510329	{ ( 0.630000, 5.960000 ), ( 8.670000, 3.170000 ) }	0.002115	
2	20	2	8.510329	{ ( 0.630000, 5.960000 ), ( 8.670000, 3.170000 ) }	0.003812	
2	20	3	8.510329	{ ( 0.630000, 5.960000 ), ( 8.670000, 3.170000 ) }	0.004574	
3	10	2	21.996086	{ ( 0.630000, 5.960000 ), ( 8.570000, 8.360000 ), ( 8.670000, 3.170000 ) }	0.003516	
3	10	3	21.996086	{ ( 0.630000, 5.960000 ), ( 8.570000, 8.360000 ), ( 8.670000, 3.170000 ) }	0.004192	
3	20	2	21.996086	{ ( 0.630000, 5.960000 ), ( 8.570000, 8.360000 ), ( 8.670000, 3.170000 ) }	0.006949	
3	20	3	21.996086	{ ( 0.630000, 5.960000 ), ( 8.570000, 8.360000 ), ( 8.670000, 3.170000 ) }	0.005096	
4	10	2	40.002258	{ ( 1.160000, 4.470000 ), ( 3.470000, 9.430000 ), ( 8.570000, 8.360000 ), ( 8.670000, 3.170000 ) }	0.004096	
4	10	3	40.002258	{ ( 1.160000, 4.470000 ), ( 3.470000, 9.430000 ), ( 8.570000, 8.360000 ), ( 8.670000, 3.170000 ) }	0.002983	
4	20	2	40.002258	{ ( 1.160000, 4.470000 ), ( 3.470000, 9.430000 ), ( 8.570000, 8.360000 ), ( 8.670000, 3.170000 ) }	0.004971	
4	20	3	40.002258	{ ( 1.160000, 4.470000 ), ( 3.470000, 9.430000 ), ( 8.570000, 8.360000 ), ( 8.670000, 3.170000 ) }	0.004410	
5	10	2	63.651680	{ ( 0.630000, 5.960000 ), ( 1.970000, 3.500000 ), ( 3.470000, 9.430000 ), ( 8.570000, 8.360000 ), ( 8.670000, 3.170000 ) }	0.003182	
5	10	3	63.651680	{ ( 0.630000, 5.960000 ), ( 1.970000, 3.500000 ), ( 3.470000, 9.430000 ), ( 8.570000, 8.360000 ), ( 8.670000, 3.170000 ) }	0.004075	
5	20	2	63.651680	{ ( 0.630000, 5.960000 ), ( 1.970000, 3.500000 ), ( 3.470000, 9.430000 ), ( 8.570000, 8.360000 ), ( 8.670000, 3.170000 ) }	0.009502	
5	20	3	63.651680	{ ( 0.630000, 5.960000 ), ( 1.970000, 3.500000 ), ( 3.470000, 9.430000 ), ( 8.570000, 8.360000 ), ( 8.670000, 3.170000 ) }	0.007134	
