m	iter	|LRC|	z	S	tiempo / segundos	
2	10	2	11.657144	{ ( 2.070000, 0.270000 ), ( 9.840000, 8.960000 ) }	0.003465	
2	10	3	11.657144	{ ( 2.070000, 0.270000 ), ( 9.840000, 8.960000 ) }	0.003674	
2	20	2	11.657144	{ ( 2.070000, 0.270000 ), ( 9.840000, 8.960000 ) }	0.006569	
2	20	3	11.657144	{ ( 2.070000, 0.270000 ), ( 9.840000, 8.960000 ) }	0.005515	
3	10	2	28.944302	{ ( 1.910000, 9.600000 ), ( 2.070000, 0.270000 ), ( 9.840000, 8.960000 ) }	0.004108	
3	10	3	28.944302	{ ( 1.910000, 9.600000 ), ( 2.070000, 0.270000 ), ( 9.840000, 8.960000 ) }	0.003478	
3	20	2	28.944302	{ ( 1.910000, 9.600000 ), ( 2.070000, 0.270000 ), ( 9.840000, 8.960000 ) }	0.005341	
3	20	3	28.944302	{ ( 1.910000, 9.600000 ), ( 2.070000, 0.270000 ), ( 9.840000, 8.960000 ) }	0.005728	
4	10	2	52.771172	{ ( 1.910000, 9.600000 ), ( 2.070000, 0.270000 ), ( 8.000000, 1.530000 ), ( 9.840000, 8.960000 ) }	0.004172	
4	10	3	52.771172	{ ( 1.910000, 9.600000 ), ( 2.070000, 0.270000 ), ( 8.000000, 1.530000 ), ( 9.840000, 8.960000 ) }	0.005325	
4	20	2	52.771172	{ ( 1.910000, 9.600000 ), ( 2.070000, 0.270000 ), ( 8.000000, 1.530000 ), ( 9.840000, 8.960000 ) }	0.007850	
4	20	3	52.771172	{ ( 1.910000, 9.600000 ), ( 2.070000, 0.270000 ), ( 8.000000, 1.530000 ), ( 9.840000, 8.960000 ) }	0.010078	
5	10	2	80.910240	{ ( 0.650000, 3.260000 ), ( 1.910000, 9.600000 ), ( 2.070000, 0.270000 ), ( 8.000000, 1.530000 ), ( 9.840000, 8.960000 ) }	0.006942	
5	10	3	80.910240	{ ( 0.650000, 3.260000 ), ( 1.910000, 9.600000 ), ( 2.070000, 0.270000 ), ( 8.000000, 1.530000 ), ( 9.840000, 8.960000 ) }	0.006463	
5	20	2	80.910240	{ ( 0.650000, 3.260000 ), ( 1.910000, 9.600000 ), ( 2.070000, 0.270000 ), ( 8.000000, 1.530000 ), ( 9.840000, 8.960000 ) }	0.012864	
5	20	3	80.910240	{ ( 0.650000, 3.260000 ), ( 1.910000, 9.600000 ), ( 2.070000, 0.270000 ), ( 8.000000, 1.530000 ), ( 9.840000, 8.960000 ) }	0.018061	
