m	z	S	tiempo / segundos	nodos generados	
2	13.073737	{ ( 6.710000, 0.350000, 9.420000 ), ( 8.060000, 9.590000, 0.270000 ) }	0.006083	0	
3	33.842258	{ ( 1.530000, 8.090000, 9.560000 ), ( 6.710000, 0.350000, 9.420000 ), ( 8.060000, 9.590000, 0.270000 ) }	0.047707	7	
4	63.518417	{ ( 1.530000, 8.090000, 9.560000 ), ( 6.710000, 0.350000, 9.420000 ), ( 6.750000, 0.070000, 1.800000 ), ( 8.060000, 9.590000, 0.270000 ) }	0.313932	165	
5	99.508842	{ ( 1.530000, 8.090000, 9.560000 ), ( 6.710000, 0.350000, 9.420000 ), ( 6.750000, 0.070000, 1.800000 ), ( 7.540000, 8.930000, 9.660000 ), ( 8.060000, 9.590000, 0.270000 ) }	4.864395	2697	
